,x_avg_pixel,amostras,proporção,higher_than_threshold
0,0.11755133,ddgan,0.3,0.0
1,0.12974495,ddgan,0.3,0.0
2,0.061063882,ddgan,0.3,0.0
3,0.11599266,ddgan,0.3,0.0
4,0.17699908,ddgan,0.3,0.0
5,0.10607766,ddgan,0.3,0.0
6,0.1571768,ddgan,0.3,0.0
7,0.14460786,ddgan,0.3,0.0
8,0.092635565,ddgan,0.3,0.0
9,0.90157396,ddgan,0.3,1.0
10,0.93129975,ddgan,0.3,1.0
11,0.12897135,ddgan,0.3,0.0
12,0.12603784,ddgan,0.3,0.0
13,0.09182751,ddgan,0.3,0.0
14,0.04828049,ddgan,0.3,0.0
15,0.074084714,ddgan,0.3,0.0
16,0.10307522,ddgan,0.3,0.0
17,0.10433135,ddgan,0.3,0.0
18,0.17737822,ddgan,0.3,0.0
19,0.9349265,ddgan,0.3,1.0
20,0.12987515,ddgan,0.3,0.0
21,0.08161382,ddgan,0.3,0.0
22,0.22008656,ddgan,0.3,0.0
23,0.14670649,ddgan,0.3,0.0
24,0.10436582,ddgan,0.3,0.0
25,0.905756,ddgan,0.3,1.0
26,0.18219593,ddgan,0.3,0.0
27,0.7914178,ddgan,0.3,1.0
28,0.8784314,ddgan,0.3,1.0
29,0.05821462,ddgan,0.3,0.0
30,0.8367264,ddgan,0.3,1.0
31,0.15752912,ddgan,0.3,0.0
32,0.9473614,ddgan,0.3,1.0
33,0.2190602,ddgan,0.3,0.0
34,0.1416169,ddgan,0.3,0.0
35,0.8875843,ddgan,0.3,1.0
36,0.1014974,ddgan,0.3,0.0
37,0.8219899,ddgan,0.3,1.0
38,0.13209254,ddgan,0.3,0.0
39,0.12771523,ddgan,0.3,0.0
40,0.8598346,ddgan,0.3,1.0
41,0.13031556,ddgan,0.3,0.0
42,0.2710095,ddgan,0.3,0.0
43,0.8712967,ddgan,0.3,1.0
44,0.15572152,ddgan,0.3,0.0
45,0.88342524,ddgan,0.3,1.0
46,0.28996632,ddgan,0.3,0.0
47,0.06366039,ddgan,0.3,0.0
48,0.14138328,ddgan,0.3,0.0
49,0.8647519,ddgan,0.3,1.0
50,0.87726337,ddgan,0.3,1.0
51,0.13769531,ddgan,0.3,0.0
52,0.086814485,ddgan,0.3,0.0
53,0.1417624,ddgan,0.3,0.0
54,0.174506,ddgan,0.3,0.0
55,0.07814415,ddgan,0.3,0.0
56,0.93386954,ddgan,0.3,1.0
57,0.2570121,ddgan,0.3,0.0
58,0.88931143,ddgan,0.3,1.0
59,0.8133579,ddgan,0.3,1.0
60,0.79602486,ddgan,0.3,1.0
61,0.15636873,ddgan,0.3,0.0
62,0.13715917,ddgan,0.3,0.0
63,0.88945305,ddgan,0.3,1.0
64,0.1509153,ddgan,0.3,0.0
65,0.9006051,ddgan,0.3,1.0
66,0.10677467,ddgan,0.3,0.0
67,0.1439032,ddgan,0.3,0.0
